FISCAL_YEAR,SYSTEM_CODE,LOCATION_CODE,LOCATION_NAME,BEDS_NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,New Georeferenced Column
2019,300000010602,X602,Region 2,300000010602,DOE,General Academic,Region-Division,,,2003-05-01T00:00:00.000,Open,X833,1230 ZEREGA AVENUE,NY,1027314,243141,40.833936,-73.844379,209,13,9600,2038420002,BX59,Westchester-Unionport,,,718-828-2440,,8,,ABSENCE TEACHER RESERVE,,,,,,,,,POINT (40.833936 -73.844379)
2019,300000010010,M264,Youth Dev. & School-Community Services,300000010010,DOE,Not Applicable,Central-HQ-Citywide,,,2004-05-03T00:00:00.000,Open,M860,52 CHAMBERS STREET,NY,982563,199047,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy,,,,,2,,DIVISION OF STUDENT SUPPORT SERVICES,,,,,,,,,POINT (40.713014 -74.006085)
2019,300000010009,M02E,Student Enrollment - Central,300000010009,DOE,General Academic,Central-HQ-Citywide,,,1999-07-01T00:00:00.000,Open,M860,52 CHAMBERS STREET,NY,982563,199047,40.713014,-74.006085,101,1,3100,1001220001,MN24,SoHo-TriBeCa-Civic Center-Little Italy,,,,,2,,SCHOOL ENROLLMENT & PLANNING OFFICE,,,,,,,,,POINT (40.713014 -74.006085)
2019,321000861135,X598,KIPP Freedom Charter School,321000861135,Charter,General Academic,Elementary,"0K,05",,2018-07-01T00:00:00.000,Open,X859,2246 JEROME AVENUE,NY,1010871,251860,40.857932,-73.903764,205,14,23900,2031860049,BX40,Fordham South,Sarah English/Lariely Sanchez,PRINCIPAL,,,10,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,POINT (40.857932 -73.903764)
2019,310200861043,M170,Success Academy Hell's Kitchen (Manhattan 2),310200861043,Charter,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04,05",2013-07-01T00:00:00.000,Open,M625,439 WEST 49TH STREET,NY,986932,217497,40.763655,-73.990318,104,3,12700,1010590015,MN15,Clinton,Jenny Obiaya,Principal,646-790-2153,646-304-5660,2,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,POINT (40.763655 -73.990318)
2019,331300010000,K813,District 13 Superintendent Office,331300010000,DOE,General Academic,Community School District,,,1938-07-01T00:00:00.000,Open,K813,355 PARK PLACE,NY,993723,185678,40.676314,-73.965848,308,35,20500,3011600001,BK64,Prospect Heights,"SAMUELS, KAMAR",CSD Superintendent Acting,718-636-3284,,13,,THE CHANCELLOR'S DISTRICT 85,,,,,,,,,POINT (40.676314 -73.965848)
2019,310500010805,M805,District 5 Superintendent Office,310500010805,DOE,General Academic,Community School District,,,1999-07-01T00:00:00.000,Open,M036,123 MORNINGSIDE DRIVE,NY,996040,234642,40.810705,-73.957409,109,7,19701,1018500002,MN09,Morningside Heights,"RUX, DANIKA",CSD Superintendent,212-222-1395,212-316-0451,5,,THE CHANCELLOR'S DISTRICT 85,,,,,,,,,POINT (40.810705 -73.957409)
2019,320900861084,X489,South Bronx Classical Charter School III,320900861084,Charter,General Academic,Elementary,"0K,01,02,03,04","0K,01,02,03,04,05",2015-07-01T00:00:00.000,Open,XBBZ,3458 Third Avenue,NY,101015,241607,40.829793,-73.906403,203,16,1001,2026090002,BX01,Claremont-Bathgate,Rebecca Geary,Principal,929-285-3025,929-232-2025,9,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,POINT (40.829793 -73.906403)
2019,300000010601,X601,Region 1,300000010601,DOE,General Academic,Region-Division,,,2003-05-01T00:00:00.000,Open,X815,ONE FORDHAM PLAZA,NY,1014672,252689,40.861,-73.8901,206,15,38700,2030330053,BX06,Belmont,,,718-741-7030,,10,,ABSENCE TEACHER RESERVE,,,,,,,,,POINT (40.861 -73.8901)
2019,310400860812,M704,Harbor Science and Arts Charter School,310400860812,Charter,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","01,02,03,04,05,06,07,08",2000-04-04T00:00:00.000,Open,MAIV,132 EAST 111 STREET,NY,999631,229069,40.795404,-73.944449,111,8,17200,1016380057,MN33,East Harlem South,Mark Johnson,PRINCIPAL,212-427-2244,212-360-7429,4,,OFFICE OF CHARTER SCHOOLS,,,,,,,,,POINT (40.795404000000005 -73.944449)
