name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2022-01-01,13.4,10,11.5,13.4,10,11.5,10.3,92.47,18.68,,62.5,,0,0,,13.1,135.7,1008.3,99.6,8.8,34.8,1.3,1,,2022-01-01T07:20:13,2022-01-01T16:39:22,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-01-02,14.6,3.5,10.2,14.6,-0.3,9.4,7.5,84.13,2.22,,16.67,,0,0,50.5,24,271.2,1004.8,92.4,12.1,62.1,2.2,2,,2022-01-02T07:20:18,2022-01-02T16:40:13,1,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2022-01-03,3.1,-4.7,-1.1,-0.5,-11,-6.5,-10.3,50.19,0,,0,,0,0,50,27.9,147.3,1019.3,67.1,16,29.7,1.1,1,,2022-01-03T07:20:21,2022-01-03T16:41:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2022-01-04,1.3,-7,-2.8,-0.1,-13.9,-6.7,-12.1,49.29,0,,0,,0,0,37.5,19.7,266.3,1028,15.7,16,230.8,9.1,5,,2022-01-04T07:20:22,2022-01-04T16:42:00,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-01-05,7.9,-0.7,3.8,6.7,-4.2,1.6,0.3,78.44,5.44,,33.33,,0,0,31.7,17.4,209.3,1014,70.9,13.6,55.9,2,1,,2022-01-05T07:20:20,2022-01-05T16:42:56,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2022-01-06,4.8,1.7,3,3.1,-1.7,-0.1,-6.5,51.65,0,,0,,9.37,9.37,38.4,20.6,249.4,1011.1,40.8,16,143.3,5.7,4,,2022-01-06T07:20:16,2022-01-06T16:43:54,0.09,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-01-07,1.2,-3.3,-1.1,-2.8,-9.4,-6.3,-6.8,67.13,8.9,,33.33,,5.62,14.99,52.5,25.8,244.8,1012.1,60,10.4,186.5,6.7,5,,2022-01-07T07:20:10,2022-01-07T16:44:52,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2022-01-08,-1.2,-6.4,-3.5,-1.2,-13.4,-7.5,-13.9,45.08,0,,0,,0,12.1,46.2,22.5,278.4,1032.7,9,16,246.4,9.8,5,,2022-01-08T07:20:02,2022-01-08T16:45:52,0.19,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-01-09,4.1,-2.1,1.8,0.9,-6.9,-2.2,-3.5,68.7,2.67,,25,,0,9.2,42.5,22.3,224.5,1022.9,79.8,14.8,64.9,2.6,1,,2022-01-09T07:19:51,2022-01-09T16:46:53,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2022-01-10,4.4,-3.8,-0.8,0.9,-9.2,-6,-10.8,47.9,0,0,0,,3,2.1,48.9,33.3,289.9,1019.2,45.4,16,145.9,8.9,5,10,2022-01-10T07:19:38,2022-01-10T16:47:55,0.28,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
