Original,New
"   ..","Unknown"
"  BLK","Black"
" - /","Unknown"
" .X","Unknown"
" BL","Black"
" BLK","Black"
" BRN","Brown"
" GR/Y","Gray"
" GRAY","Gray"
" JK","Unknown"
" OIU","Unknown"
" RUST","Brown"
" W","Unknown"
" YW","Unknown"
"$RY","Unknown"
";","Unknown"
"}","Unknown"
"(JCOV","Unknown"
"(NA","Unknown"
")BK","Unknown"
")H","Unknown"
"+","Unknown"
"++","Unknown"
"+++++","Unknown"
",","Unknown"
", ,U","Unknown"
", S","Unknown"
",,","Unknown"
",,,","Unknown"
",,/LC","Unknown"
",,MM.","Unknown"
",.","Unknown"
",.,,","Unknown"
",.,,,","Unknown"
",.-,,","Unknown"
",.-HL","Unknown"
",..","Unknown"
",.A","Unknown"
",.J.,","Unknown"
",BI,E","Unknown"
",BIK","Unknown"
",BIUC","Unknown"
",BK","Unknown"
",BROW","Brown"
",BURG","Unknown"
",IL","Unknown"
",IMCK","Unknown"
",KRX","Unknown"
",O,","Unknown"
",SILV","Silver"
",SIN,","Unknown"
",WH","White"
",WHIT","White"
",XU","Unknown"
",YW","Yellow"
"-","Unknown"
"-   .","Unknown"
"- -K","Unknown"
"- .","Unknown"
"- E","Unknown"
"- J","Unknown"
"-,","Unknown"
"-,UN","Unknown"
"--","Unknown"
"---","Unknown"
"----","Unknown"
"-----","Unknown"
"--H","Unknown"
"-.","Unknown"
"-.H","Unknown"
"-.I.","Unknown"
"-.L","Unknown"
"-.W","Unknown"
"-DGR","Unknown"
"-GRY","Gray"
"-H","Unknown"
"-I.","Unknown"
"-JWK","Unknown"
"-K","Unknown"
"-M","Unknown"
"-N","Unknown"
"-O","Unknown"
"-R","Unknown"
"-U","Unknown"
"-W I","Unknown"
".","Unknown"
".   .","Unknown"
".  .","Unknown"
".  Y","Unknown"
". -","Unknown"
". .","Unknown"
". ...","Unknown"
". ..A","Unknown"
". .Q","Unknown"
". /","Unknown"
". EZ","Unknown"
". F","Unknown"
". I","Unknown"
". K","Unknown"
". N","Unknown"
". XG.","Unknown"
".,","Unknown"
".,...","Unknown"
".-","Unknown"
".--","Unknown"
".-.","Unknown"
".-J","Unknown"
".-Y","Unknown"
"..","Unknown"
".. .","Unknown"
".. L","Unknown"
".. M","Unknown"
".. Z","Unknown"
"..,,,","Unknown"
"..-","Unknown"
"..--","Unknown"
"..-H","Unknown"
"..-M","Unknown"
"...","Unknown"
"....","Unknown"
".....","Unknown"
"....I","Unknown"
"....Y","Unknown"
"...I.","Unknown"
"...N","Unknown"
"...Y","Unknown"
"..A","Unknown"
"..E","Unknown"
"..H","Unknown"
"..I","Unknown"
